	eta	rounds	depth	delta	0	1	2	3	4	5	6	7	8	9	mean	std_dev
0	0.15	10	5	0	0.824646	0.825890	0.822769	0.826081	0.826015	0.827557	0.825021	0.825476	0.823943	0.823978	0.825137	0.001368
1	0.20	10	5	0	0.824919	0.825852	0.823056	0.826510	0.826167	0.827336	0.825378	0.825620	0.823968	0.824629	0.825343	0.001254
2	0.25	10	5	0	0.824811	0.825901	0.822986	0.826782	0.826658	0.827588	0.825654	0.825918	0.823661	0.824257	0.825422	0.001467
3	0.30	10	5	0	0.825118	0.826132	0.822809	0.826677	0.825848	0.827943	0.825267	0.825825	0.823740	0.824876	0.825423	0.001447
4	0.35	10	5	0	0.825173	0.826267	0.823421	0.826435	0.826278	0.827607	0.825501	0.825922	0.824167	0.824825	0.825560	0.001216
5	0.40	10	5	0	0.825251	0.826771	0.823423	0.826317	0.826306	0.827970	0.826036	0.826361	0.824104	0.824745	0.825728	0.001351
6	0.50	10	5	0	0.824793	0.826115	0.823939	0.826649	0.826167	0.827575	0.825786	0.825994	0.823817	0.824899	0.825574	0.001195
7	0.15	15	5	0	0.824716	0.826266	0.822987	0.826605	0.825920	0.828342	0.825761	0.825551	0.824527	0.824469	0.825514	0.001455
8	0.20	15	5	0	0.824943	0.826126	0.823447	0.826687	0.826316	0.827775	0.825619	0.825649	0.824047	0.824461	0.825507	0.001308
9	0.25	15	5	0	0.824931	0.826087	0.823526	0.826748	0.826445	0.827823	0.825848	0.826371	0.823768	0.824650	0.825620	0.001369
10	0.30	15	5	0	0.825710	0.826038	0.823080	0.826803	0.826444	0.827774	0.826008	0.826128	0.823490	0.825102	0.825658	0.001436
11	0.35	15	5	0	0.825950	0.826804	0.823689	0.826387	0.826735	0.827497	0.825890	0.826183	0.824133	0.824466	0.825773	0.001260
12	0.40	15	5	0	0.825879	0.826504	0.823634	0.826357	0.826632	0.827525	0.825915	0.826235	0.824076	0.824719	0.825748	0.001224
13	0.50	15	5	0	0.825580	0.825980	0.823578	0.826159	0.826681	0.827697	0.826048	0.826526	0.823244	0.825379	0.825687	0.001362
14	0.15	20	5	0	0.825191	0.826436	0.822801	0.826509	0.825878	0.827752	0.826046	0.825938	0.824607	0.824414	0.825557	0.001371
15	0.20	20	5	0	0.825338	0.826299	0.823899	0.826646	0.826458	0.827629	0.826154	0.826398	0.823839	0.824214	0.825687	0.001303
16	0.25	20	5	0	0.825551	0.826257	0.823600	0.826831	0.826648	0.827736	0.826617	0.826634	0.823466	0.824754	0.825809	0.001435
17	0.30	20	5	0	0.825413	0.826327	0.823362	0.827118	0.826221	0.827499	0.826366	0.826480	0.823236	0.825098	0.825712	0.001451
18	0.35	20	5	0	0.826089	0.826565	0.824021	0.826272	0.826606	0.828022	0.826402	0.826395	0.823563	0.824761	0.825870	0.001350
19	0.40	20	5	0	0.825773	0.826763	0.823951	0.827066	0.826786	0.827691	0.826444	0.826665	0.823981	0.824846	0.825997	0.001312
20	0.50	20	5	0	0.825286	0.826077	0.824300	0.825857	0.825942	0.827458	0.826291	0.826809	0.823459	0.825183	0.825666	0.001169
21	0.15	25	5	0	0.825174	0.826957	0.823387	0.826534	0.826397	0.828052	0.825884	0.826136	0.824608	0.824607	0.825773	0.001353
22	0.20	25	5	0	0.825541	0.826505	0.824049	0.827068	0.826355	0.827863	0.826359	0.826505	0.823945	0.824565	0.825876	0.001313
23	0.25	25	5	0	0.825937	0.826277	0.824331	0.827079	0.826324	0.827863	0.826685	0.826591	0.823827	0.824907	0.825982	0.001262
24	0.30	25	5	0	0.825202	0.826463	0.823845	0.826828	0.826782	0.827754	0.826588	0.826921	0.823689	0.825152	0.825923	0.001377
25	0.35	25	5	0	0.825911	0.826567	0.824236	0.826474	0.826810	0.827770	0.826473	0.827025	0.823970	0.825049	0.826028	0.001236
26	0.40	25	5	0	0.825898	0.826867	0.823828	0.826581	0.826417	0.828191	0.826651	0.826706	0.824699	0.824937	0.826078	0.001268
27	0.50	25	5	0	0.825087	0.826238	0.824008	0.826408	0.825282	0.826830	0.826131	0.826586	0.823198	0.825083	0.825485	0.001185
28	0.15	30	5	0	0.825232	0.826645	0.824073	0.826489	0.826364	0.828262	0.826173	0.826211	0.824269	0.824423	0.825814	0.001309
29	0.20	30	5	0	0.825802	0.826422	0.824191	0.826984	0.826276	0.827850	0.826590	0.826688	0.824024	0.824406	0.825923	0.001298
74	0.35	15	6	0	0.825825	0.826222	0.824514	0.826409	0.826100	0.827731	0.826165	0.826866	0.824198	0.824760	0.825879	0.001099
75	0.40	15	6	0	0.825981	0.826540	0.824426	0.826614	0.826114	0.827389	0.826928	0.826025	0.823665	0.825023	0.825870	0.001164
76	0.50	15	6	0	0.825307	0.825670	0.823949	0.825959	0.826851	0.826777	0.825259	0.825488	0.824499	0.823996	0.825376	0.001017
77	0.15	20	6	0	0.825490	0.826251	0.823565	0.826752	0.826487	0.827893	0.826427	0.826277	0.824436	0.824875	0.825845	0.001264
78	0.20	20	6	0	0.826014	0.826453	0.823732	0.827078	0.826473	0.827983	0.826556	0.827062	0.824017	0.824840	0.826021	0.001390
79	0.25	20	6	0	0.825931	0.826526	0.823950	0.826996	0.827041	0.827906	0.826760	0.827232	0.824031	0.824597	0.826097	0.001416
80	0.30	20	6	0	0.825875	0.826428	0.824553	0.826538	0.825695	0.828234	0.826383	0.826618	0.824398	0.824557	0.825928	0.001192
81	0.35	20	6	0	0.826221	0.826474	0.824570	0.826158	0.826135	0.827111	0.826050	0.826664	0.823902	0.824354	0.825764	0.001085
82	0.40	20	6	0	0.826058	0.826684	0.824104	0.826964	0.826204	0.827152	0.826588	0.825717	0.823382	0.825032	0.825789	0.001253
83	0.50	20	6	0	0.824769	0.825809	0.823565	0.826382	0.825991	0.826626	0.824971	0.825594	0.823923	0.824231	0.825186	0.001058
84	0.15	25	6	0	0.825494	0.826463	0.823719	0.826380	0.826545	0.827628	0.826770	0.826439	0.824508	0.825005	0.825895	0.001186
85	0.20	25	6	0	0.826156	0.826670	0.824142	0.827227	0.826789	0.828045	0.826719	0.827034	0.824367	0.825001	0.826215	0.001292
86	0.25	25	6	0	0.825775	0.826560	0.823955	0.827559	0.826915	0.827991	0.826738	0.826915	0.824024	0.824798	0.826123	0.001428
87	0.30	25	6	0	0.825764	0.826451	0.824787	0.826442	0.826036	0.827929	0.826520	0.827327	0.824546	0.824190	0.825999	0.001205
88	0.35	25	6	0	0.825588	0.826323	0.824508	0.826153	0.825566	0.827414	0.826209	0.826810	0.824103	0.824727	0.825740	0.001052
89	0.40	25	6	0	0.825232	0.826274	0.824330	0.826268	0.826077	0.826694	0.826149	0.826238	0.823699	0.824890	0.825585	0.000994
90	0.50	25	6	0	0.824307	0.826231	0.823670	0.825611	0.825090	0.825972	0.824488	0.826173	0.823336	0.823802	0.824868	0.001093
91	0.15	30	6	0	0.825607	0.826418	0.823767	0.826524	0.826798	0.827343	0.826731	0.826729	0.824368	0.825050	0.825933	0.001184
92	0.20	30	6	0	0.825973	0.826488	0.824080	0.826977	0.826635	0.828187	0.826523	0.826597	0.824243	0.824846	0.826055	0.001294
93	0.25	30	6	0	0.825985	0.826841	0.824489	0.827320	0.826744	0.828237	0.826597	0.826894	0.823648	0.824916	0.826167	0.001409
94	0.30	30	6	0	0.825903	0.826378	0.824196	0.826239	0.825834	0.827930	0.826290	0.826726	0.824380	0.824574	0.825845	0.001166
95	0.35	30	6	0	0.825599	0.826236	0.824241	0.825867	0.825774	0.827454	0.825687	0.826760	0.823802	0.824508	0.825593	0.001134
